issue_date,issue_time,marked_time,color,location,agency,violation_code,violation_description,fine_amount,latitude,longitude,agency_description,issue_year
2019-04-30,932.0,,BL,3021 LACLEDE AVE,56.0,5200,DISPLAY OF PLATES,25.0,6486529.632239,1863089.5876080005,,2019.0
2019-06-19,1020.0,,BL,8600 NORRIS AVE,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6450254.409814,1904825.514399,,2019.0
2019-07-11,1211.0,,WT,7700 B/O REDLANDS ST,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0,,2019.0
2019-02-21,1221.0,,BK,10925 MCVINE AVE,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6467587.64699873,1919929.48117871,,2019.0
2019-02-23,1046.0,,WT,1423 CRENSHAW BLVD,51.0,80.69B,NO PARKING,73.0,6462484.89617,1839479.102441,,2019.0
2019-04-18,1352.0,,BK,12300 VENTURA CT,53.0,80.69B,NO PARKING,73.0,6440382.8258650005,1874846.014549,,2019.0
2019-05-15,2204.0,,BK,101 S DACOTAH ST,56.0,80.56E4+,RED ZONE,93.0,6500979.921606,1836821.094484,,2019.0
2019-08-23,1814.0,,WT,1200 HOPE ST S,56.0,88.03A,OUTSIDE LINES/METER,58.0,6481574.339202,1837347.417389,,2019.0
2019-04-22,2157.0,,GY,534 LILLIAN WAY,54.0,80.58L,PREFERENTIAL PARKING,68.0,6462230.868507,1851615.935169,,2019.0
2019-02-20,1301.0,,GY,651 KINGSLEY DR S,54.0,88.13B+,METER EXP.,63.0,6469784.629901,1852594.165416,,2019.0
2019-07-20,835.0,,WT,601 LA FAYETTE PK PL S,54.0,88.13B+,METER EXP.,63.0,6476167.343784,1845380.02482,,2019.0
2019-05-24,752.0,,WT,301 STATE ST N,56.0,22514,FIRE HYDRANT,68.0,6495522.946624,1838877.328071,,2019.0
2019-03-19,2205.0,,BK,2104 CORINTH AVE,51.0,80.58L,PREFERENTIAL PARKING,68.0,6427350.344512001,1836847.917977,,2019.0
2019-09-02,938.0,,WT,1800 8TH ST E,56.0,80.56E4+,RED ZONE,93.0,6478523.950397,1841918.434008,,2019.0
2019-03-08,1009.0,,WT,5500 ETIWANDA AVE,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6401104.453367,1884587.182408,,2019.0
2019-02-15,1152.0,,RD,14454 VENTURA BL,53.0,88.13B+,METER EXP.,63.0,6426281.668492,1877531.082079,,2019.0
2019-05-12,227.0,,BK,506 SPRING ST S,56.0,5200,DISPLAY OF PLATES,25.0,6486022.726236,1839690.32017,,2019.0
2019-04-09,812.0,,SL,621 ROSE AVE,51.0,5204A-,DISPLAY OF TABS,25.0,6418766.352797,1822516.020478,,2019.0
2019-07-09,1104.0,,BK,5105 BAKMAN AVE,53.0,5200,DISPLAY OF PLATES,25.0,6447501.074945,1881934.748129,,2019.0
2019-05-28,1227.0,,BK,145 PECAN ST,56.0,80.69BS,NO PARK/STREET CLEAN,73.0,6494497.843814,1839522.013015,,2019.0
2019-06-23,1047.0,,GY,800 MAIN ST N,56.0,22514,FIRE HYDRANT,68.0,6484965.513965,1838030.500545,,2019.0
2019-02-07,1216.0,,BK,843 BONNIE BRAE ST S,56.0,80.69BS,NO PARK/STREET CLEAN,73.0,6478066.974765,1841866.033378,,2019.0
2019-02-22,807.0,,BK,10968 WILKINS AVE,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6427283.488791999,1842398.013625,,2019.0
2019-02-19,1023.0,,WT,15865 TULSA ST,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6417335.22806779,1920343.66264396,,2019.0
2019-06-12,940.0,,WT,6045 MERIDIAN ST,56.0,80.69BS,NO PARK/STREET CLEAN,73.0,6505042.087652,1866170.672303,,2019.0
2019-05-24,809.0,,GY,2951 FINCH ST,56.0,80.69BS,NO PARK/STREET CLEAN,73.0,6482568.634954,1863110.221843,,2019.0
2019-06-27,1213.0,,BK,2261 CARMELINA AVE,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6423858.099429,1833487.758612,,2019.0
2019-01-26,817.0,,WT,501 SHATTO PL,54.0,88.13B+,METER EXP.,63.0,6473857.003855,1846347.512466,,2019.0
2019-03-22,844.0,,SL,8040 RESEDA BLVD,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6399604.749597,1901951.733235,,2019.0
2019-07-10,2241.0,,SL,11921 MARYLAND ST,56.0,22500E,BLOCKING DRIVEWAY,68.0,99999.0,99999.0,,2019.0
2019-04-18,849.0,,GY,442 111TH PL E,55.0,80.69BS,NO PARK/STREET CLEAN,73.0,6476198.871495,1798442.491403,,2019.0
2019-05-02,1152.0,,WT,2228 4TH ST E,56.0,5204A-,DISPLAY OF TABS,25.0,6496869.208062001,1837576.693274,,2019.0
2019-05-02,1115.0,,GY,4230 INGLEWOOD BLVD,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6433937.880123001,1821646.713555,,2019.0
2019-04-24,1002.0,,WT,3738 SAWTELLE BLVD,51.0,5204A-,DISPLAY OF TABS,25.0,6434193.677899,1827226.630924,,2019.0
2019-04-15,1206.0,,WT,701 BROADWAY S,56.0,88.13B+,METER EXP.,63.0,6489183.532998,1844426.989195,,2019.0
2019-05-07,1045.0,,WT,678 S SERRANO AV S,54.0,88.13B+,METER EXP.,63.0,99999.0,99999.0,,2019.0
2019-12-09,1346.0,,GY,1215 W MIRAMAR ST,56.0,80.56E1,WHITE ZONE,58.0,6483189.279151,1843626.406281,56 - DOT - CENTRAL,2019.0
2019-02-21,1004.0,,WT,10501 LINDLEY AVE,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6402325.312426999,1917929.946979,,2019.0
2019-07-24,1948.0,,BK,300 12TH ST W,56.0,88.13B+,METER EXP.,63.0,6482227.391505,1836837.673218,,2019.0
2019-07-26,1201.0,,SL,1900 COURT ST,56.0,5200,DISPLAY OF PLATES,25.0,6481025.4576860005,1847324.296921,,2019.0
2019-07-05,812.0,,GY,5251 CAHUENGA BLVD,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6452301.682814,1883076.011713,,2019.0
2019-08-26,823.0,,GN,1585 ROCKWOOD ST,56.0,80.69BS,NO PARK/STREET CLEAN,73.0,6482748.318303,1845528.804952,,2019.0
